Title,Budget,DomesticTotalGross,Director,Rating,Runtime,ReleaseDate
Captain Phillips,55000000.0,107100855,Paul Greengrass,PG-13,134,2013-10-11 00:00:00
Jackass Presents: Bad Grandpa,15000000.0,102003019,Jeff Tremaine,R,93,2013-10-25 00:00:00
Pacific Rim,190000000.0,101802906,Guillermo del Toro,PG-13,131,2013-07-12 00:00:00
This is the End,32000000.0,101470202,"Evan Goldberg, Seth Rogen",R,107,2013-06-12 00:00:00
Olympus Has Fallen,70000000.0,98925640,Antoine Fuqua,R,120,2013-03-22 00:00:00
42,40000000.0,95020213,Brian Helgeland,PG-13,128,2013-04-12 00:00:00
Elysium,115000000.0,93050117,Neill Blomkamp,R,109,2013-08-09 00:00:00
Planes,50000000.0,90288712,Klay Hall,PG,92,2013-08-09 00:00:00
The Lone Ranger,215000000.0,89302115,Gore Verbinski,PG-13,149,2013-07-03 00:00:00
Oblivion,120000000.0,89107235,Joseph Kosinski,PG-13,125,2013-04-19 00:00:00
Insidious Chapter 2,5000000.0,83586447,James Wan,PG-13,105,2013-09-13 00:00:00
Saving Mr. Banks,35000000.0,83301580,John Lee Hancock,PG-13,120,2013-12-13 00:00:00
Turbo,135000000.0,83028128,David Soren,PG,96,2013-07-17 00:00:00
2 Guns,61000000.0,75612460,Baltasar Kormakur,R,109,2013-08-02 00:00:00
White House Down,150000000.0,73103784,Roland Emmerich,PG-13,137,2013-06-28 00:00:00
Mama,15000000.0,71628180,Andres Muschietti,PG-13,100,2013-01-18 00:00:00
Safe Haven,28000000.0,71349120,Lasse Hallstrom,PG-13,115,2013-02-14 00:00:00
The Smurfs 2,105000000.0,71017784,Raja Gosnell,PG,105,2013-07-31 00:00:00
The Best Man Holiday,17000000.0,70525195,Malcolm D. Lee,R,122,2013-11-15 00:00:00
Percy Jackson: Sea of Monsters,90000000.0,68559554,Thor Freudenthal,PG,106,2013-08-07 00:00:00
A Good Day to Die Hard,92000000.0,67349198,John Moore,R,97,2013-02-14 00:00:00
Warm Bodies,35000000.0,66380662,Jonathan Levine,PG-13,97,2013-02-01 00:00:00
Jack the Giant Slayer,195000000.0,65187603,Bryan Singer,PG-13,114,2013-03-01 00:00:00
The Purge,3000000.0,64473115,James DeMonaco,R,85,2013-06-07 00:00:00
Last Vegas,28000000.0,63914167,Jon Turteltaub,PG-13,90,2013-11-01 00:00:00
Ender's Game,110000000.0,61737191,,PG-13,114,2013-11-01 00:00:00
Prisoners,46000000.0,61002302,Denis Villeneuve,R,146,2013-09-20 00:00:00
After Earth,130000000.0,60522097,M. Night Shyamalan,PG-13,100,2013-05-31 00:00:00
The Secret Life of Walter Mitty,90000000.0,58236838,Ben Stiller,PG,114,2013-12-25 00:00:00
Escape From Planet Earth,40000000.0,57012977,Cal Brunker,PG,89,2013-02-15 00:00:00
12 Years a Slave,20000000.0,56671993,Steve McQueen (II),R,133,2013-10-18 00:00:00
Free Birds,55000000.0,55750480,Jimmy Hayward,PG,90,2013-11-01 00:00:00
Hansel and Gretel: Witch Hunters,50000000.0,55703475,Tommy Wirkola,R,88,2013-01-25 00:00:00
Evil Dead (2013),17000000.0,54239856,Fede Alvarez,R,91,2013-04-05 00:00:00
Red 2,84000000.0,53262560,Dean Parisot,PG-13,116,2013-07-19 00:00:00
Tyler Perry's A Madea Christmas,,52543354,Tyler Perry,PG-13,105,2013-12-13 00:00:00
Tyler Perry's Temptation: Confessions of a Marriage Counselor,,51975354,Tyler Perry,PG-13,111,2013-03-29 00:00:00
The Call,13000000.0,51872378,Brad Anderson,R,95,2013-03-15 00:00:00
Pain and Gain,26000000.0,49875291,Michael Bay,R,129,2013-04-26 00:00:00
Gangster Squad,60000000.0,46000903,Ruben Fleischer,R,113,2013-01-11 00:00:00
Jurassic Park 3D,10000000.0,45385935,,PG-13,127,2013-04-05 00:00:00
The Internship,58000000.0,44672764,Shawn Levy,PG-13,119,2013-06-07 00:00:00
Instructions Not Included,,44467206,,PG-13,115,2013-08-30 00:00:00
Snitch,,42930462,Ric Roman Waugh,PG-13,112,2013-02-22 00:00:00
Riddick,38000000.0,42025135,David Twohy,R,119,2013-09-06 00:00:00
A Haunted House,2500000.0,40041683,Michael Tiddes,R,80,2013-01-11 00:00:00
47 Ronin,175000000.0,38362475,Carl Rinsch,PG-13,127,2013-12-25 00:00:00
August: Osage County,,37738810,John Wells,R,130,2013-12-27 00:00:00
Philomena,12000000.0,37709979,Stephen Frears,PG-13,95,2013-11-22 00:00:00
The Family (2013),30000000.0,36918811,Luc Besson,R,112,2013-09-13 00:00:00
Walking with Dinosaurs,80000000.0,36076121,"Barry Cook, Neil Nightingale",PG,87,2013-12-20 00:00:00
Carrie (2013),30000000.0,35266619,Kimberly Peirce,R,92,2013-10-18 00:00:00
Texas Chainsaw 3D,,34341945,John Luessenhop,R,92,2013-01-04 00:00:00
R.I.P.D.,130000000.0,33618855,Robert Schwentke,PG-13,96,2013-07-19 00:00:00
Blue Jasmine,,33405481,Woody Allen,PG-13,98,2013-07-26 00:00:00
Kevin Hart: Let Me Explain,,32244051,,R,75,2013-07-03 00:00:00
Side Effects (2013),,32172757,Steven Soderbergh,R,106,2013-02-08 00:00:00
Scary Movie 5,20000000.0,32015787,Malcolm D. Lee,PG-13,85,2013-04-12 00:00:00
The Mortal Instruments: City of Bones,60000000.0,31165421,Harald Zwart,PG-13,120,2013-08-21 00:00:00
Delivery Man,26000000.0,30664106,Ken Scott,PG-13,105,2013-11-22 00:00:00
Grudge Match,40000000.0,29807260,Peter Segal,PG-13,113,2013-12-25 00:00:00
One Direction: This is Us,10000000.0,28873374,Morgan Spurlock,PG,92,2013-08-30 00:00:00
Kick-Ass 2,28000000.0,28795985,Jeff Wadlow,R,103,2013-08-16 00:00:00
Dallas Buyers Club,5000000.0,27298285,Jean-Marc Vallee,R,117,2013-11-01 00:00:00
Rush (2013),38000000.0,26947624,Ron Howard,R,123,2013-09-20 00:00:00
The Host (2013),40000000.0,26627201,Andrew Niccol,PG-13,125,2013-03-29 00:00:00
The World's End,20000000.0,26004851,Edgar Wright,R,109,2013-08-23 00:00:00
21 and Over,13000000.0,25682380,"Jon Lucas, Scott Moore",R,93,2013-03-01 00:00:00
Her (2013),23000000.0,25568251,Spike Jonze,R,120,2013-12-18 00:00:00
American Sniper,58800000.0,350126372,Clint Eastwood,R,132,2014-12-25 00:00:00
The Hunger Games: Mockingjay - Part 1,125000000.0,337135885,Francis Lawrence,PG-13,123,2014-11-21 00:00:00
Guardians of the Galaxy,170000000.0,333176600,James Gunn,PG-13,121,2014-08-01 00:00:00
Captain America: The Winter Soldier,170000000.0,259766572,"Anthony Russo, Joe Russo",PG-13,136,2014-04-04 00:00:00
The LEGO Movie,60000000.0,257760692,"Phil Lord, Chris Miller (II)",PG,100,2014-02-07 00:00:00
The Hobbit: The Battle of the Five Armies,,255119788,Peter Jackson,PG-13,144,2014-12-17 00:00:00
Transformers: Age of Extinction,210000000.0,245439076,Michael Bay,PG-13,165,2014-06-27 00:00:00
Maleficent,180000000.0,241410378,Robert Stromberg,PG,97,2014-05-30 00:00:00
X-Men: Days of Future Past,200000000.0,233921534,Bryan Singer,PG-13,131,2014-05-23 00:00:00
Big Hero 6,165000000.0,222527828,"Don Hall, Chris Williams",PG,108,2014-11-07 00:00:00
Dawn of the Planet of the Apes,170000000.0,208545589,Matt Reeves,PG-13,130,2014-07-11 00:00:00
The Amazing Spider-Man 2,,202853933,Marc Webb,PG-13,142,2014-05-02 00:00:00
Godzilla (2014),160000000.0,200676069,Gareth Edwards,PG-13,123,2014-05-16 00:00:00
22 Jump Street,50000000.0,191719337,"Phil Lord, Chris Miller (II)",R,112,2014-06-13 00:00:00
Teenage Mutant Ninja Turtles (2014),125000000.0,191204754,Jonathan Liebesman,PG-13,101,2014-08-08 00:00:00
Interstellar,165000000.0,188020017,Christopher Nolan,PG-13,169,2014-11-05 00:00:00
How to Train Your Dragon 2,145000000.0,177002924,Dean DeBlois,PG,105,2014-06-13 00:00:00
Gone Girl,61000000.0,167767189,David Fincher,R,145,2014-10-03 00:00:00
Divergent,85000000.0,150947895,Neil Burger,PG-13,143,2014-03-21 00:00:00
Neighbors,18000000.0,150157400,Nick Stoller,R,96,2014-05-09 00:00:00
Ride Along,25000000.0,134938200,Tim Story,PG-13,100,2014-01-17 00:00:00
Rio 2,103000000.0,131538435,Carlos Saldanha,G,101,2014-04-11 00:00:00
Into the Woods,50000000.0,128002372,Rob Marshall,PG,124,2014-12-25 00:00:00
Lucy,40000000.0,126663600,Luc Besson,R,90,2014-07-25 00:00:00
The Fault in our Stars,12000000.0,124872350,Josh Boone,PG-13,125,2014-06-06 00:00:00
Unbroken,65000000.0,115637895,Angelina Jolie,PG-13,137,2014-12-25 00:00:00
Night at the Museum: Secret of the Tomb,127000000.0,113746621,Shawn Levy,PG,97,2014-12-19 00:00:00
Mr. Peabody & Sherman,145000000.0,111506430,Rob Minkoff,PG,90,2014-03-07 00:00:00
300: Rise of An Empire,110000000.0,106580051,Noam Murro,R,102,2014-03-07 00:00:00
The Maze Runner,34000000.0,102427862,Wes Ball,PG-13,113,2014-09-19 00:00:00
The Equalizer,55000000.0,101530738,Antoine Fuqua,R,128,2014-09-26 00:00:00
Noah,125000000.0,101200044,Darren Aronofsky,PG-13,138,2014-03-28 00:00:00
Edge of Tomorrow,178000000.0,100206256,Doug Liman,PG-13,113,2014-06-06 00:00:00
Non-Stop,50000000.0,92168600,Jaume Collet-Serra,PG-13,110,2014-02-28 00:00:00
Heaven is for Real,12000000.0,91443253,Randall Wallace,PG,100,2014-04-16 00:00:00
The Imitation Game,,91125683,Morten Tyldum,PG-13,114,2014-11-28 00:00:00
Dumb and Dumber To,40000000.0,86208010,The Farrelly Bros.,PG-13,110,2014-11-14 00:00:00
Annie (2014),65000000.0,85911262,Will Gluck,PG,118,2014-12-19 00:00:00
Fury (2014),68000000.0,85817906,David Ayer,R,134,2014-10-17 00:00:00
Tammy,20000000.0,84525432,,R,96,2014-07-02 00:00:00
Annabelle,6500000.0,84273813,John R. Leonetti,R,95,2014-10-03 00:00:00
The Other Woman (2014),40000000.0,83911193,Nick Cassavetes,PG-13,109,2014-04-25 00:00:00
Penguins of Madagascar,132000000.0,83350911,"Eric Darnell, Simon J. Smith",PG,92,2014-11-26 00:00:00
Let's Be Cops,17000000.0,82390774,Luke Greenfield,R,104,2014-08-13 00:00:00
The Monuments Men,70000000.0,78031620,George Clooney,PG-13,110,2014-02-07 00:00:00
Hercules (2014),100000000.0,72688614,Brett Ratner,PG-13,98,2014-07-25 00:00:00
The Purge: Anarchy,9000000.0,71962800,James DeMonaco,R,103,2014-07-18 00:00:00
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000.0,66954149,Miguel Arteta,PG,81,2014-10-10 00:00:00
Think Like a Man Too,24000000.0,65182182,Tim Story,PG-13,106,2014-06-20 00:00:00
Exodus: Gods and Kings,140000000.0,65014513,Ridley Scott,PG-13,150,2014-12-12 00:00:00
The Nut Job,42000000.0,64251541,Peter Lepeniotis,PG,86,2014-01-17 00:00:00
God's Not Dead,2000000.0,60755732,,PG,113,2014-03-21 00:00:00
Son of God,,59700064,Christopher Spencer,PG-13,138,2014-02-28 00:00:00
The Grand Budapest Hotel,25000000.0,59301324,Wes Anderson,R,100,2014-03-07 00:00:00
Planes: Fire & Rescue,50000000.0,59165787,,PG,83,2014-07-18 00:00:00
RoboCop (2014),100000000.0,58607007,Jose Padilha,PG-13,108,2014-02-12 00:00:00
Dracula Untold,70000000.0,56280355,Gary Shore,PG-13,92,2014-10-10 00:00:00
Horrible Bosses 2,42000000.0,54445357,Sean Anders,R,108,2014-11-26 00:00:00
The Hundred-Foot Journey,22000000.0,54240821,Lasse Hallstrom,PG,122,2014-08-08 00:00:00
No Good Deed (2014),13200000.0,52543632,Sam Miller,PG-13,84,2014-09-12 00:00:00
